path,iou,tp/fp,Precision,Recall,ip
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 1,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 2,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 3,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 4,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 5,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 6,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 7,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 8,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 9,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 10,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 11,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 12,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 13,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 14,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 15,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 16,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 17,0.24633123689727462,FP,0.0,0.0,0.0
