path,iou,tp/fp,Precision,Recall,ip
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 1,0.8984105044920525,TP,1.0,0.0004095004095004095,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 2,0.9642857142857143,TP,1.0,0.0008186655751125665,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 3,0.8090467516697025,TP,1.0,0.0012274959083469722,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 4,0.6714522363335174,TP,1.0,0.0016359918200408998,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 5,0.6084627745045528,TP,1.0,0.002044153720359771,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 6,0.5807981035163967,TP,1.0,0.002451982018798529,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 7,0.6792697290930506,TP,1.0,0.0028594771241830064,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 8,0.8481927710843373,TP,1.0,0.0032666394446712946,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 9,0.7742703990470519,TP,1.0,0.003673469387755102,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 10,0.7673341303048417,TP,1.0,0.004079967360261118,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 11,0.7727340378032446,TP,1.0,0.004486133768352365,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 12,0.757303039244615,TP,1.0,0.004891969017529555,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 13,0.7421383647798742,TP,1.0,0.005297473512632437,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 14,0.7342981186685963,TP,1.0,0.005702647657841141,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 15,0.8700224340998317,TP,1.0,0.0061074918566775245,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 16,0.8845208845208845,TP,1.0,0.006512006512006512,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 17,0.8966376089663761,TP,1.0,0.006916192026037429,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 18,0.7041711559181161,TP,1.0,0.0073200488003253355,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 19,0.7464873848013295,TP,1.0,0.007723577235772358,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 20,0.7321965897693079,TP,1.0,0.008126777732629013,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 21,0.7164865200646043,TP,1.0,0.008529650690495532,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 22,0.5352517985611511,TP,1.0,0.008932196508323184,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 23,0.8578886310904872,TP,1.0,0.009334415584415584,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 24,0.8213286198261894,TP,1.0,0.00973630831643002,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 25,0.7210202034675455,TP,1.0,0.01013787510137875,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 26,0.9230769230769231,TP,1.0,0.01053911633563032,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 27,0.7905105438401776,TP,1.0,0.01094003241491086,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 28,0.5738786279683378,TP,1.0,0.011340623734305387,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 29,0.5316967060285892,TP,1.0,0.01174089068825911,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 30,0.680672268907563,TP,1.0,0.012140833670578713,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 31,0.7053571428571429,TP,1.0,0.012540453074433657,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 32,0.7724750277469479,TP,1.0,0.01293974929235746,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 33,0.8410180745112504,TP,1.0,0.01333872271624899,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 34,0.7059475434059845,TP,1.0,0.013737373737373737,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 35,0.6475109809663251,TP,1.0,0.014135702746365105,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 36,0.5994194484760522,TP,1.0,0.014533710133225677,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 37,0.5529075309818875,TP,1.0,0.01493139628732849,1.0
/media/david/datos/Violence DATA/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Arrest003---segment No: 38,0.5342080599812559,TP,1.0,0.015328761597418314,1.0
